Item,Sku,Warehouse,Client,Location,Type,Units,Active Item,Pickable,Sellable,Active Lot,Lot Name,Exp Date,Days to Expire,Creation Date
The Linen Simple Pant Cre S,2020018CreS,Primary,DONNI. HQ,13-12-M-05,Bin,15,yes,no,yes,,,,,2025-08-18 20:34:38
The Jersey Tee Cre XL,1030043CreXL,Primary,DONNI. HQ,34-02-A-07,Bin,7,yes,yes,yes,,,,,2025-08-18 20:18:04
The Linen Stripe Crop Racer Pant Btr L,2048018BtrL,Primary,DONNI. HQ,34-01-C-14,Bin,15,yes,yes,yes,,,,,2025-08-18 20:13:00
The Eco-Terry Crewneck Jet XXL,1021037JetXXL,Primary,DONNI. HQ,33-05-G-10X,Bin,1,yes,no,yes,,,,,2025-08-18 19:12:15
The Baby Rib Turtleneck Hgy XXL,1070029HgyXXL,Primary,DONNI. HQ,35-08-H-15,Bin,1,yes,no,yes,,,,,2025-08-18 19:03:52
The Baby Rib Turtleneck Hgy M,1070029HgyM,Primary,DONNI. HQ,29-01-G-01X,Bin,7,yes,no,yes,,,,,2025-08-18 18:58:42
The Baby Rib Turtleneck Hgy XS,1070029HgyXS,Primary,DONNI. HQ,34-04-I-02X,Bin,4,yes,no,yes,,,,,2025-08-18 18:56:46
The Baby Rib Turtleneck Hgy S,1070029HgyS,Primary,DONNI. HQ,34-04-I-01X,Bin,5,yes,no,yes,,,,,2025-08-18 18:55:55
The Baby Rib Turtleneck Hgy XL,1070029HgyXL,Primary,DONNI. HQ,34-03-I-12X,Bin,2,yes,no,yes,,,,,2025-08-18 18:55:07
The Baby Rib V-Neck Long Sleeve Jet XS,1077029JetXS,Primary,DONNI. HQ,13-08-M-12,Bin,3,yes,no,yes,,,,,2025-08-18 18:54:46
The Jersey Tee Cre XXL,1030043CreXXL,Primary,DONNI. HQ,34-02-G-12,Bin,8,yes,no,yes,,,,,2025-08-18 18:51:57
The Linen Simple Pant Jet S,2020018JetS,Primary,DONNI. HQ,33-05-J-07X,Bin,36,yes,no,yes,,,,,2025-08-18 18:23:59
The Chino Drawstring Short DrkKhk M,2037013DrkKhkM,Primary,DONNI. HQ,33-08-I-14X,Bin,1,yes,no,yes,,,,,2025-08-18 17:33:23
The Linen Simple Pant Jet L,2020018JetL,Primary,DONNI. HQ,13-11-J-07,Bin,1,yes,no,yes,,,,,2025-08-18 17:27:18
The Tall Rib Kick Flare Esp L,2060015EspTLL,Primary,DONNI. HQ,23-02-D-03,Bin,3,yes,yes,yes,,,,,2025-08-18 17:14:18
THE POP BOXER Pow S,2023011PowS,Primary,DONNI. HQ,12-10-H-10,Bin,1,yes,no,yes,,,,,2025-08-17 01:21:07
The Silk Stripe Crop Pant Jet L,2043056JetL,Primary,DONNI. HQ,11-03-F-09,Bin,1,yes,no,yes,,,,,2025-08-17 01:17:50
The Bubble Crop Simple Pant Stk XXL,2017025StkXXL,Primary,DONNI. HQ,11-04-F-08,Bin,1,yes,no,yes,,,,,2025-08-17 01:16:27
The Jersey Turtleneck Bal L,1051052BalL,Primary,DONNI. HQ,12-06-J-08,Bin,1,yes,no,yes,,,,,2025-08-17 00:42:14
The Jersey Tee Hgy M,1030043HgyM,Primary,DONNI. HQ,12-06-K-11,Bin,1,yes,no,yes,,,,,2025-08-17 00:41:32
The Jersey Relaxed V-Neck Hgy L,1042043HgyL,Primary,DONNI. HQ,12-06-K-10,Bin,1,yes,no,yes,,,,,2025-08-17 00:41:02
The Jersey Muscle Tank Hgy S,1040043HgyS,Primary,DONNI. HQ,12-06-K-09,Bin,1,yes,no,yes,,,,,2025-08-17 00:40:28
The Jersey Long Sleeve Tee Jet M,1031043JetM,Primary,DONNI. HQ,12-06-K-08,Bin,1,yes,no,yes,,,,,2025-08-17 00:39:56
The Jersey Bow Long Sleeve Jet S,1050052JetS,Primary,DONNI. HQ,12-06-K-07,Bin,1,yes,no,yes,,,,,2025-08-17 00:38:55
The Jersey Relaxed V-Neck Nav L,1042043NavL,Primary,DONNI. HQ,12-05-M-10,Bin,1,yes,no,yes,,,,,2025-08-17 00:36:16
The Jersey Long Sleeve Tee Hgy S,1031043HgyS,Primary,DONNI. HQ,12-05-I-08,Bin,1,yes,no,yes,,,,,2025-08-17 00:34:23
